file_path,team1,team2,date
dt\csv2\643677.csv,Zimbabwe,India,2013-08-03
dt\csv2\645635.csv,West Indies,Pakistan,2013-07-14
dt\csv2\645637.csv,West Indies,Pakistan,2013-07-16
dt\csv2\645639.csv,West Indies,Pakistan,2013-07-19
dt\csv2\645641.csv,West Indies,Pakistan,2013-07-21
dt\csv2\645643.csv,West Indies,Pakistan,2013-07-24
dt\csv2\647249.csv,India,Australia,2013-10-13
dt\csv2\647251.csv,India,Australia,2013-10-16
dt\csv2\647253.csv,India,Australia,2013-10-19
dt\csv2\647255.csv,India,Australia,2013-10-23
dt\csv2\647259.csv,India,Australia,2013-10-30
dt\csv2\647261.csv,India,Australia,2013-11-02
dt\csv2\648651.csv,South Africa,India,2013-12-05
dt\csv2\648653.csv,South Africa,India,2013-12-08
dt\csv2\648655.csv,South Africa,India,2013-12-11
dt\csv2\649091.csv,Pakistan,South Africa,2013-10-30
dt\csv2\649093.csv,Pakistan,South Africa,2013-11-01
dt\csv2\649095.csv,Pakistan,South Africa,2013-11-06
dt\csv2\649097.csv,Pakistan,South Africa,2013-11-08
dt\csv2\649099.csv,Pakistan,South Africa,2013-11-11
dt\csv2\656399.csv,New Zealand,Sri Lanka,2015-02-14
dt\csv2\656401.csv,Australia,England,2015-02-14
dt\csv2\656403.csv,South Africa,Zimbabwe,2015-02-15
dt\csv2\656405.csv,India,Pakistan,2015-02-15
dt\csv2\656407.csv,Ireland,West Indies,2015-02-16
dt\csv2\656409.csv,New Zealand,Scotland,2015-02-17
dt\csv2\656413.csv,United Arab Emirates,Zimbabwe,2015-02-19
dt\csv2\656415.csv,New Zealand,England,2015-02-20
dt\csv2\656417.csv,Pakistan,West Indies,2015-02-21
dt\csv2\656423.csv,India,South Africa,2015-02-22
dt\csv2\656425.csv,England,Scotland,2015-02-23
dt\csv2\656427.csv,West Indies,Zimbabwe,2015-02-24
dt\csv2\656429.csv,Ireland,United Arab Emirates,2015-02-25
dt\csv2\656433.csv,Bangladesh,Sri Lanka,2015-02-26
dt\csv2\656435.csv,South Africa,West Indies,2015-02-27
dt\csv2\656437.csv,New Zealand,Australia,2015-02-28
dt\csv2\656439.csv,India,United Arab Emirates,2015-02-28
dt\csv2\656441.csv,England,Sri Lanka,2015-03-01
dt\csv2\656443.csv,Pakistan,Zimbabwe,2015-03-01
dt\csv2\656445.csv,Ireland,South Africa,2015-03-03
dt\csv2\656447.csv,Pakistan,United Arab Emirates,2015-03-04
dt\csv2\656451.csv,Bangladesh,Scotland,2015-03-05
dt\csv2\656453.csv,India,West Indies,2015-03-06
dt\csv2\656455.csv,Pakistan,South Africa,2015-03-07
dt\csv2\656457.csv,Ireland,Zimbabwe,2015-03-07
dt\csv2\656461.csv,Australia,Sri Lanka,2015-03-08
dt\csv2\656463.csv,Bangladesh,England,2015-03-09
dt\csv2\656465.csv,India,Ireland,2015-03-10
dt\csv2\656467.csv,Scotland,Sri Lanka,2015-03-11
dt\csv2\656469.csv,South Africa,United Arab Emirates,2015-03-12
dt\csv2\656471.csv,New Zealand,Bangladesh,2015-03-13
dt\csv2\656475.csv,India,Zimbabwe,2015-03-14
dt\csv2\656477.csv,Australia,Scotland,2015-03-14
dt\csv2\656479.csv,United Arab Emirates,West Indies,2015-03-15
dt\csv2\656481.csv,Ireland,Pakistan,2015-03-15
dt\csv2\656483.csv,South Africa,Sri Lanka,2015-03-18
dt\csv2\656485.csv,Bangladesh,India,2015-03-19
dt\csv2\656487.csv,Australia,Pakistan,2015-03-20
dt\csv2\656489.csv,New Zealand,West Indies,2015-03-21
dt\csv2\656491.csv,New Zealand,South Africa,2015-03-24
dt\csv2\656493.csv,Australia,India,2015-03-26
dt\csv2\656495.csv,Australia,New Zealand,2015-03-29
dt\csv2\657637.csv,Pakistan,Sri Lanka,2013-12-18
dt\csv2\657639.csv,Pakistan,Sri Lanka,2013-12-20
dt\csv2\657641.csv,Pakistan,Sri Lanka,2013-12-22
dt\csv2\657643.csv,Pakistan,Sri Lanka,2013-12-25
dt\csv2\657645.csv,Pakistan,Sri Lanka,2013-12-27
dt\csv2\659549.csv,Zimbabwe,Pakistan,2013-08-27
dt\csv2\659551.csv,Zimbabwe,Pakistan,2013-08-29
dt\csv2\659553.csv,Zimbabwe,Pakistan,2013-08-31
dt\csv2\660825.csv,Canada,Netherlands,2013-08-27
dt\csv2\660827.csv,Canada,Netherlands,2013-08-29
dt\csv2\660837.csv,Ireland,Scotland,2013-09-06
dt\csv2\661685.csv,New Zealand,West Indies,2013-12-26
dt\csv2\661689.csv,New Zealand,West Indies,2014-01-01
dt\csv2\661691.csv,New Zealand,West Indies,2014-01-04
dt\csv2\661693.csv,New Zealand,West Indies,2014-01-08
dt\csv2\667641.csv,New Zealand,India,2014-01-19
dt\csv2\667643.csv,New Zealand,India,2014-01-22
dt\csv2\667645.csv,New Zealand,India,2014-01-25
dt\csv2\667647.csv,New Zealand,India,2014-01-28
dt\csv2\667649.csv,New Zealand,India,2014-01-31
dt\csv2\667723.csv,England,India,2014-08-27
dt\csv2\667725.csv,England,India,2014-08-30
dt\csv2\667727.csv,England,India,2014-09-02
dt\csv2\667729.csv,England,India,2014-09-05
dt\csv2\667889.csv,England,Sri Lanka,2014-05-22
dt\csv2\667891.csv,England,Sri Lanka,2014-05-25
dt\csv2\667893.csv,England,Sri Lanka,2014-05-28
dt\csv2\667895.csv,England,Sri Lanka,2014-05-31
dt\csv2\667897.csv,England,Sri Lanka,2014-06-03
dt\csv2\668953.csv,Bangladesh,New Zealand,2013-10-29
dt\csv2\668955.csv,Bangladesh,New Zealand,2013-10-31
dt\csv2\668957.csv,Bangladesh,New Zealand,2013-11-03
dt\csv2\668961.csv,Sri Lanka,New Zealand,2013-11-10
dt\csv2\668963.csv,Sri Lanka,New Zealand,2013-11-12
dt\csv2\668965.csv,Sri Lanka,New Zealand,2013-11-16
dt\csv2\676529.csv,India,West Indies,2013-11-21
dt\csv2\676531.csv,India,West Indies,2013-11-24
dt\csv2\676533.csv,India,West Indies,2013-11-27
dt\csv2\684679.csv,Scotland,England,2014-05-09
dt\csv2\685731.csv,South Africa,Pakistan,2013-11-24
dt\csv2\685733.csv,South Africa,Pakistan,2013-11-27
dt\csv2\685735.csv,South Africa,Pakistan,2013-11-30
dt\csv2\690355.csv,Bangladesh,Sri Lanka,2014-02-17
dt\csv2\690357.csv,Bangladesh,Sri Lanka,2014-02-20
dt\csv2\690359.csv,Bangladesh,Sri Lanka,2014-02-22
dt\csv2\696731.csv,Scotland,Canada,2014-01-23
dt\csv2\696733.csv,Netherlands,Kenya,2014-01-23
dt\csv2\696747.csv,Canada,Netherlands,2014-01-28
dt\csv2\696759.csv,Kenya,Scotland,2014-01-30
dt\csv2\702139.csv,West Indies,Ireland,2014-02-23
dt\csv2\706767.csv,Sri Lanka,Ireland,2014-05-06
dt\csv2\710291.csv,Pakistan,Sri Lanka,2014-02-25
dt\csv2\710293.csv,Bangladesh,India,2014-02-26
dt\csv2\710297.csv,India,Sri Lanka,2014-02-28
dt\csv2\710301.csv,India,Pakistan,2014-03-02
dt\csv2\710305.csv,Bangladesh,Pakistan,2014-03-04
dt\csv2\710309.csv,Bangladesh,Sri Lanka,2014-03-06
dt\csv2\710311.csv,Pakistan,Sri Lanka,2014-03-08
dt\csv2\722339.csv,South Africa,West Indies,2015-01-16
dt\csv2\722341.csv,South Africa,West Indies,2015-01-18
dt\csv2\722343.csv,South Africa,West Indies,2015-01-21
dt\csv2\722345.csv,South Africa,West Indies,2015-01-25
dt\csv2\722347.csv,South Africa,West Indies,2015-01-28
dt\csv2\727919.csv,Australia,Pakistan,2014-10-07
dt\csv2\727921.csv,Australia,Pakistan,2014-10-10
dt\csv2\727923.csv,Australia,Pakistan,2014-10-12
dt\csv2\727935.csv,Ireland,Scotland,2014-09-08
dt\csv2\727937.csv,Ireland,Scotland,2014-09-10
dt\csv2\727939.csv,Ireland,Scotland,2014-09-12
dt\csv2\730083.csv,Sri Lanka,South Africa,2014-07-06
dt\csv2\730085.csv,Sri Lanka,South Africa,2014-07-09
dt\csv2\730087.csv,Sri Lanka,South Africa,2014-07-12
dt\csv2\730287.csv,West Indies,Bangladesh,2014-08-20
dt\csv2\730289.csv,West Indies,Bangladesh,2014-08-22
dt\csv2\730291.csv,West Indies,Bangladesh,2014-08-25
dt\csv2\736437.csv,Zimbabwe,South Africa,2014-08-17
dt\csv2\736439.csv,Zimbabwe,South Africa,2014-08-19
dt\csv2\736441.csv,Zimbabwe,South Africa,2014-08-21
dt\csv2\736443.csv,Zimbabwe,Australia,2014-08-25
dt\csv2\736445.csv,Australia,South Africa,2014-08-27
dt\csv2\736447.csv,Zimbabwe,South Africa,2014-08-29
dt\csv2\736449.csv,Zimbabwe,Australia,2014-08-31
dt\csv2\736451.csv,Australia,South Africa,2014-09-02
dt\csv2\736453.csv,Zimbabwe,South Africa,2014-09-04
dt\csv2\736455.csv,Australia,South Africa,2014-09-06
dt\csv2\736511.csv,Hong Kong,United Arab Emirates,2014-05-04
dt\csv2\742619.csv,New Zealand,Pakistan,2014-12-08
dt\csv2\742621.csv,New Zealand,Pakistan,2014-12-12
dt\csv2\742623.csv,New Zealand,Pakistan,2014-12-14
dt\csv2\742625.csv,New Zealand,Pakistan,2014-12-17
dt\csv2\742627.csv,New Zealand,Pakistan,2014-12-19
dt\csv2\743943.csv,England,New Zealand,2015-06-09
dt\csv2\743945.csv,England,New Zealand,2015-06-12
dt\csv2\743947.csv,England,New Zealand,2015-06-14
dt\csv2\743949.csv,England,New Zealand,2015-06-17
dt\csv2\743951.csv,England,New Zealand,2015-06-20
dt\csv2\743973.csv,Ireland,Australia,2015-08-27
dt\csv2\743977.csv,England,Australia,2015-09-03
dt\csv2\743979.csv,England,Australia,2015-09-05
dt\csv2\743981.csv,England,Australia,2015-09-08
dt\csv2\743983.csv,England,Australia,2015-09-11
dt\csv2\743985.csv,England,Australia,2015-09-13
dt\csv2\744679.csv,Bangladesh,India,2014-06-15
dt\csv2\744681.csv,Bangladesh,India,2014-06-17
dt\csv2\744683.csv,Bangladesh,India,2014-06-19
dt\csv2\745159.csv,Sri Lanka,Pakistan,2014-08-23
dt\csv2\745161.csv,Sri Lanka,Pakistan,2014-08-26
dt\csv2\745163.csv,Sri Lanka,Pakistan,2014-08-30
dt\csv2\749771.csv,New Zealand,South Africa,2014-10-21
dt\csv2\749773.csv,New Zealand,South Africa,2014-10-24
dt\csv2\749775.csv,New Zealand,South Africa,2014-10-27
dt\csv2\749781.csv,New Zealand,Sri Lanka,2015-01-11
dt\csv2\749783.csv,New Zealand,Sri Lanka,2015-01-15
dt\csv2\749785.csv,New Zealand,Sri Lanka,2015-01-17
dt\csv2\749787.csv,New Zealand,Sri Lanka,2015-01-20
dt\csv2\749789.csv,New Zealand,Sri Lanka,2015-01-23
dt\csv2\749791.csv,New Zealand,Sri Lanka,2015-01-25
dt\csv2\749793.csv,New Zealand,Sri Lanka,2015-01-29
dt\csv2\749795.csv,New Zealand,Pakistan,2015-01-31
dt\csv2\749797.csv,New Zealand,Pakistan,2015-02-03
dt\csv2\750663.csv,Sri Lanka,England,2014-11-26
dt\csv2\750665.csv,Sri Lanka,England,2014-11-29
dt\csv2\750667.csv,Sri Lanka,England,2014-12-03
dt\csv2\750669.csv,Sri Lanka,England,2014-12-07
dt\csv2\750671.csv,Sri Lanka,England,2014-12-10
dt\csv2\750673.csv,Sri Lanka,England,2014-12-13
dt\csv2\750675.csv,Sri Lanka,England,2014-12-16
dt\csv2\754723.csv,Australia,South Africa,2014-11-14
dt\csv2\754725.csv,Australia,South Africa,2014-11-16
dt\csv2\754727.csv,Australia,South Africa,2014-11-19
dt\csv2\754729.csv,Australia,South Africa,2014-11-21
dt\csv2\754731.csv,Australia,South Africa,2014-11-23
dt\csv2\754749.csv,Australia,India,2015-01-18
dt\csv2\754751.csv,Australia,England,2015-01-16
dt\csv2\754753.csv,England,India,2015-01-20
dt\csv2\754755.csv,Australia,England,2015-01-23
dt\csv2\754757.csv,Australia,India,2015-01-26
dt\csv2\754759.csv,England,India,2015-01-30
dt\csv2\754761.csv,Australia,England,2015-02-01
dt\csv2\760787.csv,Bangladesh,Zimbabwe,2014-11-21
dt\csv2\760789.csv,Bangladesh,Zimbabwe,2014-11-23
dt\csv2\760791.csv,Bangladesh,Zimbabwe,2014-11-26
dt\csv2\760793.csv,Bangladesh,Zimbabwe,2014-11-28
dt\csv2\760795.csv,Bangladesh,Zimbabwe,2014-12-01
dt\csv2\760889.csv,Ireland,England,2015-05-08
dt\csv2\770121.csv,India,West Indies,2014-10-08
dt\csv2\770123.csv,India,West Indies,2014-10-11
dt\csv2\770127.csv,India,West Indies,2014-10-17
dt\csv2\792289.csv,India,Sri Lanka,2014-11-02
dt\csv2\792291.csv,India,Sri Lanka,2014-11-06
dt\csv2\792293.csv,India,Sri Lanka,2014-11-09
dt\csv2\792295.csv,India,Sri Lanka,2014-11-13
dt\csv2\792297.csv,India,Sri Lanka,2014-11-16
dt\csv2\800469.csv,South Africa,England,2016-02-03
dt\csv2\800471.csv,South Africa,England,2016-02-06
dt\csv2\800473.csv,South Africa,England,2016-02-09
dt\csv2\800475.csv,South Africa,England,2016-02-12
dt\csv2\800477.csv,South Africa,England,2016-02-14
dt\csv2\810829.csv,Ireland,Scotland,2015-01-12
dt\csv2\817207.csv,Bangladesh,South Africa,2015-07-10
dt\csv2\817209.csv,Bangladesh,South Africa,2015-07-12
dt\csv2\817211.csv,Bangladesh,South Africa,2015-07-15
dt\csv2\848843.csv,South Africa,New Zealand,2015-08-19
dt\csv2\848845.csv,South Africa,New Zealand,2015-08-23
dt\csv2\848847.csv,South Africa,New Zealand,2015-08-26
dt\csv2\858485.csv,Bangladesh,Pakistan,2015-04-17
dt\csv2\858487.csv,Bangladesh,Pakistan,2015-04-19
dt\csv2\858489.csv,Bangladesh,Pakistan,2015-04-22
dt\csv2\860269.csv,Sri Lanka,Pakistan,2015-07-11
dt\csv2\860271.csv,Sri Lanka,Pakistan,2015-07-15
dt\csv2\860273.csv,Sri Lanka,Pakistan,2015-07-19
dt\csv2\860275.csv,Sri Lanka,Pakistan,2015-07-22
dt\csv2\860277.csv,Sri Lanka,Pakistan,2015-07-26
dt\csv2\868727.csv,Pakistan,Zimbabwe,2015-05-26
dt\csv2\868729.csv,Pakistan,Zimbabwe,2015-05-29
dt\csv2\868731.csv,Pakistan,Zimbabwe,2015-05-31
dt\csv2\870731.csv,Bangladesh,India,2015-06-18
dt\csv2\870733.csv,Bangladesh,India,2015-06-21
dt\csv2\870735.csv,Bangladesh,India,2015-06-24
dt\csv2\885959.csv,Zimbabwe,India,2015-07-10
dt\csv2\885965.csv,Zimbabwe,India,2015-07-12
dt\csv2\885967.csv,Zimbabwe,India,2015-07-14
dt\csv2\894287.csv,Zimbabwe,New Zealand,2015-08-02
dt\csv2\894289.csv,Zimbabwe,New Zealand,2015-08-04
dt\csv2\894291.csv,Zimbabwe,New Zealand,2015-08-07
dt\csv2\895807.csv,Australia,India,2016-01-12
dt\csv2\895809.csv,Australia,India,2016-01-15
dt\csv2\895811.csv,Australia,India,2016-01-17
dt\csv2\895813.csv,Australia,India,2016-01-20
dt\csv2\895815.csv,Australia,India,2016-01-23
dt\csv2\902641.csv,England,Pakistan,2015-11-11
dt\csv2\902643.csv,England,Pakistan,2015-11-13
dt\csv2\902645.csv,England,Pakistan,2015-11-17
dt\csv2\902647.csv,England,Pakistan,2015-11-20
dt\csv2\903593.csv,India,South Africa,2015-10-11
dt\csv2\903595.csv,India,South Africa,2015-10-14
dt\csv2\903597.csv,India,South Africa,2015-10-18
dt\csv2\903599.csv,India,South Africa,2015-10-22
dt\csv2\903601.csv,India,South Africa,2015-10-25
dt\csv2\911049.csv,United Arab Emirates,Hong Kong,2015-11-16
dt\csv2\913621.csv,Ireland,Sri Lanka,2016-06-18
dt\csv2\913623.csv,England,Sri Lanka,2016-06-21
dt\csv2\913625.csv,England,Sri Lanka,2016-06-24
dt\csv2\913627.csv,England,Sri Lanka,2016-06-26
dt\csv2\913629.csv,England,Sri Lanka,2016-06-29
dt\csv2\913631.csv,England,Sri Lanka,2016-07-02
dt\csv2\913649.csv,Ireland,Pakistan,2016-08-18
dt\csv2\913653.csv,England,Pakistan,2016-08-24
dt\csv2\913655.csv,England,Pakistan,2016-08-27
dt\csv2\913657.csv,England,Pakistan,2016-08-30
dt\csv2\913659.csv,England,Pakistan,2016-09-01
dt\csv2\913661.csv,England,Pakistan,2016-09-04
dt\csv2\914207.csv,New Zealand,Sri Lanka,2015-12-26
dt\csv2\914209.csv,New Zealand,Sri Lanka,2015-12-28
dt\csv2\914211.csv,New Zealand,Sri Lanka,2015-12-31
dt\csv2\914213.csv,New Zealand,Sri Lanka,2016-01-02
dt\csv2\914215.csv,New Zealand,Sri Lanka,2016-01-05
dt\csv2\914227.csv,New Zealand,Pakistan,2016-01-25
dt\csv2\914231.csv,New Zealand,Australia,2016-02-03
dt\csv2\914233.csv,New Zealand,Australia,2016-02-06
dt\csv2\914235.csv,New Zealand,Australia,2016-02-08
dt\csv2\914265.csv,New Zealand,Pakistan,2016-01-31
dt\csv2\915777.csv,Sri Lanka,West Indies,2015-11-01
dt\csv2\915779.csv,Sri Lanka,West Indies,2015-11-04
dt\csv2\915781.csv,Sri Lanka,West Indies,2015-11-07
dt\csv2\919607.csv,Zimbabwe,Pakistan,2015-10-01
dt\csv2\919609.csv,Zimbabwe,Pakistan,2015-10-03
dt\csv2\919611.csv,Zimbabwe,Pakistan,2015-10-05
dt\csv2\919613.csv,Zimbabwe,Ireland,2015-10-09
dt\csv2\919615.csv,Zimbabwe,Ireland,2015-10-11
dt\csv2\919617.csv,Zimbabwe,Ireland,2015-10-13
dt\csv2\931390.csv,Bangladesh,Zimbabwe,2015-11-07
dt\csv2\931392.csv,Bangladesh,Zimbabwe,2015-11-09
dt\csv2\931394.csv,Bangladesh,Zimbabwe,2015-11-11
dt\csv2\932849.csv,West Indies,South Africa,2016-06-03
dt\csv2\932851.csv,West Indies,Australia,2016-06-05
dt\csv2\932853.csv,Australia,South Africa,2016-06-07
dt\csv2\932855.csv,Australia,South Africa,2016-06-11
dt\csv2\932857.csv,West Indies,Australia,2016-06-13
dt\csv2\932859.csv,West Indies,South Africa,2016-06-15
dt\csv2\932861.csv,Australia,South Africa,2016-06-19
dt\csv2\932863.csv,West Indies,Australia,2016-06-21
dt\csv2\932865.csv,West Indies,South Africa,2016-06-24
dt\csv2\932867.csv,West Indies,Australia,2016-06-26
dt\csv2\936131.csv,South Africa,Ireland,2016-09-25
dt\csv2\936133.csv,Australia,Ireland,2016-09-27
dt\csv2\936135.csv,South Africa,Australia,2016-09-30
dt\csv2\936137.csv,South Africa,Australia,2016-10-02
dt\csv2\936139.csv,South Africa,Australia,2016-10-05
dt\csv2\936141.csv,South Africa,Australia,2016-10-09
dt\csv2\936143.csv,South Africa,Australia,2016-10-12
dt\csv2\936159.csv,South Africa,Sri Lanka,2017-01-28
dt\csv2\936161.csv,South Africa,Sri Lanka,2017-02-01
dt\csv2\936163.csv,South Africa,Sri Lanka,2017-02-04
dt\csv2\936165.csv,South Africa,Sri Lanka,2017-02-07
dt\csv2\936167.csv,South Africa,Sri Lanka,2017-02-10
dt\csv2\995457.csv,Sri Lanka,Australia,2016-08-21
dt\csv2\995459.csv,Sri Lanka,Australia,2016-08-24
dt\csv2\995461.csv,Sri Lanka,Australia,2016-08-28
dt\csv2\995463.csv,Sri Lanka,Australia,2016-08-31
dt\csv2\995465.csv,Sri Lanka,Australia,2016-09-04
dt\csv2\997993.csv,Scotland,United Arab Emirates,2016-08-14
dt\csv2\997995.csv,Scotland,United Arab Emirates,2016-08-16
dt\csv3\1000887.csv,Australia,Pakistan,2017-01-13
dt\csv3\1000889.csv,Australia,Pakistan,2017-01-15
dt\csv3\1000891.csv,Australia,Pakistan,2017-01-19
dt\csv3\1000893.csv,Australia,Pakistan,2017-01-22
dt\csv3\1000895.csv,Australia,Pakistan,2017-01-26
dt\csv3\1001371.csv,Australia,New Zealand,2016-12-04
dt\csv3\1001373.csv,Australia,New Zealand,2016-12-06
dt\csv3\1001375.csv,Australia,New Zealand,2016-12-09
dt\csv3\1004283.csv,Scotland,Hong Kong,2016-09-08
dt\csv3\1004285.csv,Scotland,Hong Kong,2016-09-10
dt\csv3\1007649.csv,Zimbabwe,India,2016-06-11
dt\csv3\1007651.csv,Zimbabwe,India,2016-06-13
dt\csv3\1007653.csv,Zimbabwe,India,2016-06-15
dt\csv3\1019973.csv,New Zealand,Bangladesh,2016-12-26
dt\csv3\1019975.csv,New Zealand,Bangladesh,2016-12-29
dt\csv3\1019977.csv,New Zealand,Bangladesh,2016-12-31
dt\csv3\1020013.csv,New Zealand,Australia,2017-01-30
dt\csv3\1020017.csv,New Zealand,Australia,2017-02-05
dt\csv3\1020031.csv,New Zealand,South Africa,2017-02-19
dt\csv3\1020033.csv,New Zealand,South Africa,2017-02-22
dt\csv3\1020035.csv,New Zealand,South Africa,2017-02-25
dt\csv3\1020037.csv,New Zealand,South Africa,2017-03-01
dt\csv3\1020039.csv,New Zealand,South Africa,2017-03-04
dt\csv3\1022347.csv,England,Bangladesh,2017-06-01
dt\csv3\1022349.csv,Australia,New Zealand,2017-06-02
dt\csv3\1022351.csv,South Africa,Sri Lanka,2017-06-03
dt\csv3\1022353.csv,India,Pakistan,2017-06-04
dt\csv3\1022355.csv,Australia,Bangladesh,2017-06-05
dt\csv3\1022357.csv,England,New Zealand,2017-06-06
dt\csv3\1022359.csv,Pakistan,South Africa,2017-06-07
dt\csv3\1022361.csv,India,Sri Lanka,2017-06-08
dt\csv3\1022363.csv,Bangladesh,New Zealand,2017-06-09
dt\csv3\1022365.csv,England,Australia,2017-06-10
dt\csv3\1022367.csv,India,South Africa,2017-06-11
dt\csv3\1022369.csv,Pakistan,Sri Lanka,2017-06-12
dt\csv3\1022371.csv,England,Pakistan,2017-06-14
dt\csv3\1022373.csv,Bangladesh,India,2017-06-15
dt\csv3\1022375.csv,India,Pakistan,2017-06-18
dt\csv3\1026847.csv,Hong Kong,Papua New Guinea,2016-11-04
dt\csv3\1026849.csv,Hong Kong,Papua New Guinea,2016-11-06
dt\csv3\1026851.csv,Hong Kong,Papua New Guinea,2016-11-08
dt\csv3\1027315.csv,West Indies,England,2017-03-03
dt\csv3\1027317.csv,West Indies,England,2017-03-05
dt\csv3\1027319.csv,West Indies,England,2017-03-09
dt\csv3\1029001.csv,England,Ireland,2017-05-05
dt\csv3\1029003.csv,England,Ireland,2017-05-07
dt\csv3\1029819.csv,Bangladesh,England,2016-10-07
dt\csv3\1029821.csv,Bangladesh,England,2016-10-09
dt\csv3\1029823.csv,Bangladesh,England,2016-10-12
dt\csv3\1030219.csv,India,New Zealand,2016-10-16
dt\csv3\1030221.csv,India,New Zealand,2016-10-20
dt\csv3\1030223.csv,India,New Zealand,2016-10-23
dt\csv3\1030225.csv,India,New Zealand,2016-10-26
dt\csv3\1030227.csv,India,New Zealand,2016-10-29
dt\csv3\1031425.csv,England,South Africa,2017-05-24
dt\csv3\1031427.csv,England,South Africa,2017-05-27
dt\csv3\1031429.csv,England,South Africa,2017-05-29
dt\csv3\1031667.csv,West Indies,England,2017-09-19
dt\csv3\1031669.csv,England,West Indies,2017-09-21
dt\csv3\1031671.csv,England,West Indies,2017-09-24
dt\csv3\1031673.csv,West Indies,England,2017-09-27
dt\csv3\1031675.csv,West Indies,England,2017-09-29
dt\csv3\1033361.csv,Ireland,Bangladesh,2017-05-12
dt\csv3\1033363.csv,Ireland,New Zealand,2017-05-14
dt\csv3\1033365.csv,Bangladesh,New Zealand,2017-05-17
dt\csv3\1033367.csv,Ireland,Bangladesh,2017-05-19
dt\csv3\1033369.csv,Ireland,New Zealand,2017-05-21
dt\csv3\1033371.csv,Bangladesh,New Zealand,2017-05-24
dt\csv3\1034819.csv,India,England,2017-01-15
dt\csv3\1034821.csv,India,England,2017-01-19
dt\csv3\1034823.csv,India,England,2017-01-22
dt\csv3\1050223.csv,Pakistan,West Indies,2016-09-30
dt\csv3\1050225.csv,Pakistan,West Indies,2016-10-02
dt\csv3\1050227.csv,Pakistan,West Indies,2016-10-05
dt\csv3\1059710.csv,Zimbabwe,Sri Lanka,2016-11-14
dt\csv3\1059711.csv,Sri Lanka,West Indies,2016-11-16
dt\csv3\1059712.csv,Zimbabwe,West Indies,2016-11-19
dt\csv3\1059713.csv,Zimbabwe,Sri Lanka,2016-11-21
dt\csv3\1059714.csv,Sri Lanka,West Indies,2016-11-23
dt\csv3\1059715.csv,Zimbabwe,West Indies,2016-11-25
dt\csv3\1059716.csv,Zimbabwe,Sri Lanka,2016-11-27
dt\csv3\1068737.csv,United Arab Emirates,Papua New Guinea,2017-04-02
dt\csv3\1072310.csv,Australia,England,2018-01-14
dt\csv3\1072311.csv,Australia,England,2018-01-19
dt\csv3\1072312.csv,England,Australia,2018-01-21
dt\csv3\1072313.csv,England,Australia,2018-01-26
dt\csv3\1072314.csv,England,Australia,2018-01-28
dt\csv3\1075504.csv,Bangladesh,South Africa,2017-10-15
dt\csv3\1075505.csv,South Africa,Bangladesh,2017-10-18
dt\csv3\1075506.csv,South Africa,Bangladesh,2017-10-22
dt\csv3\1077949.csv,West Indies,Pakistan,2017-04-07
dt\csv3\1077950.csv,West Indies,Pakistan,2017-04-09
dt\csv3\1077951.csv,West Indies,Pakistan,2017-04-11
dt\csv3\1078659.csv,Hong Kong,Scotland,2017-01-22
dt\csv3\1078660.csv,United Arab Emirates,Scotland,2017-01-24
dt\csv3\1078661.csv,United Arab Emirates,Hong Kong,2017-01-26
dt\csv3\1080630.csv,United Arab Emirates,Ireland,2017-03-02
dt\csv3\1080631.csv,United Arab Emirates,Ireland,2017-03-04
dt\csv3\1083446.csv,Sri Lanka,Bangladesh,2017-03-25
dt\csv3\1083447.csv,Sri Lanka,Bangladesh,2017-03-28
dt\csv3\1083448.csv,Sri Lanka,Bangladesh,2017-04-01
dt\csv3\1089183.csv,United Arab Emirates,Papua New Guinea,2017-04-04
dt\csv3\1089419.csv,Scotland,Zimbabwe,2017-06-15
dt\csv3\1089420.csv,Scotland,Zimbabwe,2017-06-17
dt\csv3\1098206.csv,West Indies,India,2017-06-23
dt\csv3\1098207.csv,West Indies,India,2017-06-25
dt\csv3\1098208.csv,West Indies,India,2017-06-30
dt\csv3\1098209.csv,West Indies,India,2017-07-02
dt\csv3\1098210.csv,West Indies,India,2017-07-06
dt\csv3\1104478.csv,Sri Lanka,Zimbabwe,2017-06-30
dt\csv3\1104479.csv,Sri Lanka,Zimbabwe,2017-07-02
dt\csv3\1104480.csv,Sri Lanka,Zimbabwe,2017-07-06
dt\csv3\1104481.csv,Sri Lanka,Zimbabwe,2017-07-08
dt\csv3\1104482.csv,Sri Lanka,Zimbabwe,2017-07-10
dt\csv3\1109605.csv,Sri Lanka,India,2017-08-20
dt\csv3\1109606.csv,Sri Lanka,India,2017-08-24
dt\csv3\1109607.csv,Sri Lanka,India,2017-08-27
dt\csv3\1109608.csv,India,Sri Lanka,2017-08-31
dt\csv3\1109609.csv,Sri Lanka,India,2017-09-03
dt\csv3\1115775.csv,England,New Zealand,2018-02-25
dt\csv3\1115776.csv,New Zealand,England,2018-02-28
dt\csv3\1115777.csv,England,New Zealand,2018-03-03
dt\csv3\1115778.csv,England,New Zealand,2018-03-07
dt\csv3\1115779.csv,New Zealand,England,2018-03-10
dt\csv3\1115795.csv,West Indies,New Zealand,2017-12-20
dt\csv3\1115796.csv,New Zealand,West Indies,2017-12-23
dt\csv3\1115797.csv,New Zealand,West Indies,2017-12-26
dt\csv3\1115802.csv,New Zealand,Pakistan,2018-01-06
