csv_number,num_players,start_number,end_number,date,num_teama,num_teamb,teama_players,teamb_players,venue
64832,22,264,285,2003-08-06,11,11,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'A Symonds', 'MG Bevan', 'IJ Harvey', 'GB Hogg', 'AJ Bichel', 'JN Gillespie', 'BA Williams']","['Hannan Sarkar', 'Javed Omar', 'Habibul Bashar', 'Sanwar Hossain', 'Tushar Imran', 'Mohammad Ashraful', 'Alok Kapali', 'Khaled Mahmud', 'Tapash Baisya', 'Mohammad Rafique', 'Mashrafe Mortaza']","Marrara Cricket Ground, Darwin"
64833,22,286,307,2003-09-09,11,11,"['Mohammad Hafeez', 'Yasir Hameed', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Younis Khan', 'Kamran Akmal', 'Abdul Razzaq', 'Shoaib Malik', 'Junaid Zia', 'Shabbir Ahmed', 'Umar Gul']","['Habibul Bashar', 'Mohammad Ashraful', 'Rajin Saleh', 'Tushar Imran', 'Alok Kapali', 'Khaled Mahmud', 'Sanwar Hossain', 'Khaled Mashud', 'Mushfiqur Rahman', 'Mashrafe Mortaza', 'Mohammad Rafique']",Multan Cricket Stadium
64836,22,308,329,2003-09-18,11,11,"['Hannan Sarkar', 'Khaled Mashud', 'Rajin Saleh', 'Habibul Bashar', 'Alok Kapali', 'Tushar Imran', 'Mushfiqur Rahman', 'Khaled Mahmud', 'Mohammad Rafique', 'Mashrafe Mortaza', 'Tapash Baisya']","['Imran Nazir', 'Mohammad Hafeez', 'Yousuf Youhana', 'Younis Khan', 'Inzamam-ul-Haq', 'Shoaib Malik', 'Abdul Razzaq', 'Kamran Akmal', 'Junaid Zia', 'Mohammad Sami', 'Umar Gul']",Rawalpindi Cricket Stadium
64837,22,330,351,2003-09-21,11,11,"['Mohammad Hafeez', 'Yasir Hameed', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Younis Khan', 'Shoaib Malik', 'Abdul Razzaq', 'Kamran Akmal', 'Shabbir Ahmed', 'Mohammad Sami', 'Umar Gul']","['Hannan Sarkar', 'Habibul Bashar', 'Rajin Saleh', 'Alok Kapali', 'Tushar Imran', 'Mushfiqur Rahman', 'Khaled Mahmud', 'Khaled Mashud', 'Mashrafe Mortaza', 'Mohammad Rafique', 'Tapash Baisya']","National Stadium, Karachi"
64838,22,352,373,2003-10-03,11,11,"['Mohammad Hafeez', 'Yasir Hameed', 'Yousuf Youhana', 'Younis Khan', 'Inzamam-ul-Haq', 'Shoaib Malik', 'Abdul Razzaq', 'Rashid Latif', 'Shoaib Akhtar', 'Mohammad Sami', 'Mushtaq Ahmed']","['GC Smith', 'HH Dippenaar', 'JH Kallis', 'ND McKenzie', 'MV Boucher', 'SM Pollock', 'JA Rudolph', 'AJ Hall', 'RJ Peterson', 'AC Dawson', 'M Ntini']","Gaddafi Stadium, Lahore"
64839,22,374,395,2003-10-05,11,11,"['Mohammad Hafeez', 'Yasir Hameed', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Younis Khan', 'Shoaib Malik', 'Rashid Latif', 'Abdul Razzaq', 'Shoaib Akhtar', 'Mohammad Sami', 'Umar Gul']","['GC Smith', 'HH Dippenaar', 'JH Kallis', 'ND McKenzie', 'MV Boucher', 'JA Rudolph', 'SM Pollock', 'AJ Hall', 'RJ Peterson', 'AC Dawson', 'M Ntini']","Gaddafi Stadium, Lahore"
64840,22,396,417,2003-10-07,11,11,"['Mohammad Hafeez', 'Yasir Hameed', 'Yousuf Youhana', 'Younis Khan', 'Faisal Iqbal', 'Shoaib Malik', 'Abdul Razzaq', 'Rashid Latif', 'Shoaib Akhtar', 'Saqlain Mushtaq', 'Umar Gul']","['GC Smith', 'HH Gibbs', 'JH Kallis', 'JA Rudolph', 'HH Dippenaar', 'MV Boucher', 'SM Pollock', 'AJ Hall', 'RJ Peterson', 'A Nel', 'M Ntini']","Iqbal Stadium, Faisalabad"
64841,22,418,439,2003-10-10,11,11,"['Mohammad Hafeez', 'Yasir Hameed', 'Faisal Iqbal', 'Yousuf Youhana', 'Younis Khan', 'Naved Latif', 'Shoaib Malik', 'Rashid Latif', 'Shoaib Akhtar', 'Mohammad Sami', 'Shabbir Ahmed']","['GC Smith', 'HH Gibbs', 'JH Kallis', 'JA Rudolph', 'HH Dippenaar', 'MV Boucher', 'SM Pollock', 'AJ Hall', 'RJ Peterson', 'A Nel', 'M Ntini']",Rawalpindi Cricket Stadium
64842,22,440,461,2003-10-12,11,11,"['Yasir Hameed', 'Mohammad Hafeez', 'Yousuf Youhana', 'Younis Khan', 'Inzamam-ul-Haq', 'Shoaib Malik', 'Abdul Razzaq', 'Rashid Latif', 'Mohammad Sami', 'Shoaib Akhtar', 'Danish Kaneria']","['HH Dippenaar', 'HH Gibbs', 'JH Kallis', 'JA Rudolph', 'ND McKenzie', 'MV Boucher', 'SM Pollock', 'AC Dawson', 'RJ Peterson', 'A Nel', 'M Ntini']",Rawalpindi Cricket Stadium
64843,22,462,483,2003-11-07,11,11,"['Hannan Sarkar', 'Nafees Iqbal', 'Habibul Bashar', 'Rajin Saleh', 'Alok Kapali', 'Khaled Mahmud', 'Mushfiqur Rahman', 'Manjural Islam Rana', 'Khaled Mashud', 'Jamaluddin Ahmed', 'Tapash Baisya']","['ME Trescothick', 'VS Solanki', 'MP Vaughan', 'PD Collingwood', 'A Flintoff', 'R Clarke', 'ID Blackwell', 'CMW Read', 'AF Giles', 'RL Johnson', 'JM Anderson']","MA Aziz Stadium, Chittagong"
