venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
Allan Border Field,2019-10-09,-18.9389,149.1644,,,
R Premadasa Stadium,2009-01-31,6.9269,79.8612,,,
Sheikh Zayed Stadium,2016-10-05,24.4361,54.3896,30.7,,11.4
"R Premadasa Stadium, Colombo",2021-07-20,6.9271,79.8612,28.8,0.0,6.7
"Hagley Oval, Christchurch",2022-03-27,-43.5389,172.6428,15.3,0.0,9.1
Multan Cricket Stadium,2023-08-30,30.2097,71.5142,32.9,0.0,8.9
"Sir Vivian Richards Stadium, North Sound, Antigua",2021-07-12,17.75,-61.8,,,
"Senwes Park, Potchefstroom",2023-12-20,-26.7186,27.1878,23.8,8.9,16.1
Shere Bangla National Stadium,2011-03-04,23.75,90.4,25.5,,6.0
Harare Sports Club,2016-11-14,-17.815,31.0456,19.9,1.0,
AMI Stadium,2009-03-08,-43.5389,172.6361,17.2,0.0,13.4
"Civil Service Cricket Club, Stormont",2007-06-29,54.6028,-5.9337,12.4,25.1,11.7
St George's Park,2009-11-29,-33.9598878271,25.6059959093,18.6,,20.1
Barabati Stadium,2009-12-21,20.4602,85.8478,22.4,,
"Brisbane Cricket Ground, Woolloongabba",2006-02-14,-27.4705,153.0269,27.2,0.2,11.6
"Maple Leaf North-West Ground, King City",2024-09-18,44.0706,-79.6628,19.0,0.0,8.4
"Queen's Park Oval, Port of Spain",2013-07-07,10.6936,-61.5215,28.2,0.0,4.7
Nehru Stadium,2014-10-08,18.9389,72.8258,28.8,,
Trent Bridge,2018-07-12,52.9444,-1.1447,16.8,,9.8
Queens Sports Club,2016-11-21,-20.1692,28.5869,,,
"Bay Oval, Mount Maunganui",2022-03-14,-37.6833,176.1667,19.5,0.0,10.6
Melbourne Cricket Ground,2014-01-19,-37.822,144.9635,19.4,0.0,
Harare Sports Club,2024-10-17,-17.815,31.0456,17.3,0.0,8.8
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-09-22,30.7333,76.7794,,,
"Sabina Park, Kingston",2005-05-08,18.4814,-76.8008,,,
Sinhalese Sports Club Ground,2014-10-17,6.9273,79.8597,25.9,14.5,
Lord's,2007-07-01,51.5311,-0.2008,17.4,13.0,23.8
Trent Bridge,2019-05-17,52.9444,-1.1447,11.7,,17.4
Queens Sports Club,2013-08-01,-20.1692,28.5869,,,
County Ground,2017-07-06,51.4729997747,-2.58382433136,20.1,,12.0
Titwood,2007-08-16,55.85,-4.3167,12.7,,18.2
McLean Park,2007-12-28,-40.7122,176.8478,,,
"Takashinga Sports Club, Highfield, Harare",2023-06-18,-17.815,31.0461,18.1,0.0,9.5
Sheikh Zayed Stadium,2018-11-09,24.4361,54.3896,27.3,,9.3
Gaddafi Stadium,2004-10-16,31.5299,74.344,25.0,0.0,
Trent Bridge,2019-06-06,52.9444,-1.1447,13.7,,10.9
Buffalo Park,2006-09-18,-33.0040233172,27.9182829935,10.6,0.0,12.6
Nondescripts Cricket Club Ground,2017-02-19,18.9389,72.8258,30.0,,8.0
Headingley,2005-06-26,53.8067,-1.5425,14.1,,5.1
"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-12,27.6983,85.3109,13.0,0.0,7.5
"Manuka Oval, Canberra",2024-02-06,-35.3086,149.1147,16.9,0.3,10.0
Clontarf Cricket Club Ground,2013-05-26,53.3569,-6.2042,12.6,8.2,19.5
Harare Sports Club,2007-12-02,-17.815,31.0456,21.9,,
"Punjab Cricket Association Stadium, Mohali",2006-10-07,30.7348,76.7361,,,
"ICC Academy, Dubai",2022-03-06,25.0758,55.165,23.6,0.0,10.1
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2011-02-23,6.9389,81.0331,15.2,0.0,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2020-01-06,23.6344,58.5624,25.0,0.3,9.2
"Grace Road, Leicester",2022-07-18,52.6328,-1.1361,27.7,0.0,10.9
McLean Park,2019-01-23,-40.7122,176.8478,,,
Sydney Cricket Ground,2006-01-22,-33.8688,151.2093,25.9,0.0,22.6
Sheikh Zayed Stadium,2009-05-01,24.4361,54.3896,35.8,,18.0
Gaddafi Stadium,2015-05-31,31.5299,74.344,32.2,1.5,
Mombasa Sports Club Ground,2012-02-20,-4.0467,39.6618,28.1,,11.3
Lord's,2016-08-27,51.5311,-0.2008,20.3,0.0,12.4
Bellerive Oval,2009-01-18,-18.9389,147.1861,,,
Providence Stadium,2016-06-05,18.9389,72.8258,30.8,,12.8
Sophia Gardens,2019-06-08,51.4883,-3.1917,12.5,,31.3
Sydney Cricket Ground,2004-12-08,-33.8688,151.2093,22.6,0.0,30.5
Madhavrao Scindia Cricket Ground,2008-11-14,18.9389,72.8258,26.5,,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014-08-26,6.9389,81.0331,16.4,0.0,
"Sabina Park, Kingston, Jamaica",2022-01-13,18.0111,-76.7996,26.3,,11.6
"Willowmoore Park, Benoni",2003-02-18,-26.1886,28.4636,16.9,0.0,
"County Ground, Chelmsford",2023-05-14,51.7528,0.9222,11.5,0.0,7.8
Arun Jaitley Stadium,2019-03-13,28.6116,77.2299,19.7,,4.2
Harare Sports Club,2010-06-07,-17.815,31.0456,15.6,,
Eden Gardens,2011-10-25,22.5411,88.3628,26.8,,2.5
Gaddafi Stadium,2015-05-26,31.5299,74.344,33.1,0.0,16.3
The Rose Bowl,2009-09-09,34.1425,-118.1097,23.3,0.0,6.5
Lord's,2017-05-07,51.5311,-0.2008,11.8,0.0,13.2
St George's Park,2006-03-05,-33.9598878271,25.6059959093,20.7,0.0,24.6
"Wanderers Cricket Ground, Windhoek",2023-03-27,-22.5728,17.0811,23.7,0.0,9.5
Bulawayo Athletic Club,2023-06-27,-20.1507,28.5749,15.0,,12.7
"MA Chidambaram Stadium, Chepauk, Chennai",2003-10-23,13.0475,80.2707,26.1,0.3,
"MA Chidambaram Stadium, Chepauk",2017-09-17,13.0484,80.2116,28.1,15.0,12.1
SuperSport Park,2009-09-27,-25.7906,28.2286,22.2,,8.3
Pallekele International Cricket Stadium,2024-11-19,7.4833,80.65,24.6,13.9,6.2
"Seddon Park, Hamilton",2022-03-05,-37.7833,175.2786,,,
"Choice Moosa Stadium, Pearland",2022-05-29,29.5286,-95.3236,27.7,0.0,13.9
Shere Bangla National Stadium,2015-06-21,23.75,90.4,29.7,2.0,
Sydney Cricket Ground,2014-11-23,-33.8688,151.2093,24.1,0.0,18.5
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-11-03,23.6344,58.5624,30.2,0.0,7.0
Kennington Oval,2006-06-20,51.48,-0.1195,18.0,0.3,17.0
"Brisbane Cricket Ground, Woolloongabba",2018-01-19,-27.4705,153.0269,24.1,0.0,11.5
"Sardar Patel Stadium, Motera",2006-10-24,18.9389,72.8258,29.7,,
Sinhalese Sports Club Ground,2017-04-01,6.9273,79.8597,29.6,0.5,
"Arnos Vale Ground, Kingstown",2010-03-12,13.1333,-61.2,,,
University Oval,2015-01-25,-18.1439,178.4358,26.0,0.3,5.7
"Gaddafi Stadium, Lahore",2022-04-02,31.5299,74.3086,28.7,0.0,2.6
Pallekele International Cricket Stadium,2022-06-16,7.4833,80.65,27.3,0.0,11.6
County Ground,2017-07-02,51.4729997747,-2.58382433136,16.0,,15.4
Bert Sutcliffe Oval,2015-11-03,-18.1422,145.7717,,0.0,
Sinhalese Sports Club Ground,2014-10-19,6.9273,79.8597,27.1,20.8,
Westpac Stadium,2012-02-25,-41.2885,174.7806,15.4,0.0,15.7
Maharashtra Cricket Association Stadium,2017-01-15,18.5239,73.8555,21.9,,
Westpac Stadium,2015-03-21,-41.2885,174.7806,14.7,0.0,25.9
"Sportpark Maarschalkerweerd, Utrecht",2024-08-06,52.0833,5.15,21.3,0.0,9.2
"Grange Cricket Club Ground, Raeburn Place",2016-08-14,55.95,-3.2075,14.1,,9.3
Sophia Gardens,2012-08-24,51.4883,-3.1917,15.4,,14.6
Sher-e-Bangla National Cricket Stadium,2021-05-25,23.75,90.4167,30.4,26.6,6.2
Bay Oval,2019-01-03,-37.6894,176.1642,,,
Sawai Mansingh Stadium,2006-10-21,26.9222,75.7898,25.1,1.0,
Sophia Gardens,2017-06-09,51.4883,-3.1917,14.1,,19.4
"City Oval, Pietermaritzburg",2003-02-23,-29.6197,30.3717,,,
Melbourne Cricket Ground,2007-01-12,-37.822,144.9635,19.3,0.0,
Grace Road,2019-06-06,52.6328,-1.1358,13.7,,10.6
Trent Bridge,2015-06-17,52.9444,-1.1447,,,
"Tribhuvan University International Cricket Ground, Kirtipur",2022-03-25,27.6983,85.3109,20.2,0.3,13.4
Green Park,2008-11-20,18.5209,73.8562,25.6,,
Queens Sports Club,2014-08-17,-20.1692,28.5869,,,
"Queens Sports Club, Bulawayo",2023-06-23,-20.1508,28.5786,14.3,,14.9
Kingsmead,2021-01-26,-29.8567,31.0269,25.6,0.9,11.0
Rangiri Dambulla International Stadium,2010-06-22,7.89,80.8,,,
Himachal Pradesh Cricket Association Stadium,2016-10-16,31.6439,77.2182,,,
"Hagley Oval, Christchurch",2022-03-24,-43.5389,172.6428,17.2,0.0,20.7
Edgbaston,2013-09-11,52.4828,-1.8998,12.6,,12.6
St George's Park,2007-11-30,-33.9598878271,25.6059959093,20.9,0.0,14.4
Jade Stadium,2006-02-25,-43.5303,172.6362,14.4,0.0,14.2
Sophia Gardens,2011-09-16,51.4883,-3.1917,14.1,,17.1
P Sara Oval,2017-02-17,18.9389,72.8258,30.7,,8.9
Sheikh Zayed Stadium,2009-11-03,24.4361,54.3896,29.5,,9.3
Harare Sports Club,2010-06-03,-17.815,31.0456,12.6,,
"Sabina Park, Kingston",2009-06-26,18.4814,-76.8008,,,
"Lord's, London",2022-09-24,51.531,-0.2648,13.2,0.0,14.1
"Nehru Stadium, Fatorda",2006-04-03,15.4944,73.8268,28.5,,
Sharjah Cricket Stadium,2023-06-04,25.2086,55.5296,32.8,0.0,9.6
Adelaide Oval,2022-11-17,-34.9285,138.6007,18.3,0.0,13.5
Sinhalese Sports Club Ground,2006-08-18,6.9273,79.8597,,,
Harare Sports Club,2018-03-18,-17.815,31.0456,18.8,,
Pallekele International Cricket Stadium,2018-10-17,7.4833,80.65,,,
"Narendra Modi Stadium, Ahmedabad",2023-11-04,23.0217,72.5605,26.9,0.0,3.3
"Shere Bangla National Stadium, Mirpur",2023-03-03,23.8233,90.3917,27.4,0.0,7.8
Saxton Oval,2016-12-29,18.5569,73.8287,18.2,,
University Oval,2021-02-26,-18.1439,178.4358,25.6,3.9,9.6
"County Ground, New Road, Worcester",2024-06-30,52.19,-2.23,15.5,0.5,11.2
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-11-10,6.9389,81.0331,15.2,26.2,
Manuka Oval,2016-11-20,-35.2806,149.1306,21.3,9.4,13.1
Dubai International Cricket Stadium,2019-02-07,18.9389,72.8258,22.5,,5.7
"Kingsmead, Durban",2023-10-01,-29.8589,31.0311,18.0,0.0,25.1
County Ground,2009-05-24,51.4729997747,-2.58382433136,14.0,,10.7
"Ray Mitchell Oval, Harrup Park, Mackay",2021-09-24,-21.1508,149.2008,19.7,0.6,13.9
New Wanderers Stadium,2012-01-22,-18.9389,30.7545,,,
ICC Academy,2019-02-09,18.9389,72.8258,20.1,,5.2
"Warner Park, Basseterre",2016-06-13,17.3589,-62.7828,29.0,,19.4
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024-06-15,6.1286,81.1206,27.7,0.0,36.9
Sawai Mansingh Stadium,2006-10-13,26.9222,75.7898,28.6,,
Newlands,2004-01-25,-33.9969,18.4716,20.6,0.0,14.3
"Shere Bangla National Stadium, Mirpur",2023-11-10,23.8233,90.3917,26.2,0.0,4.9
Kinrara Academy Oval,2006-09-20,3.1236,101.6918,,,
Sheikh Zayed Stadium,2006-04-19,24.4361,54.3896,28.1,,14.2
"Takashinga Sports Club, Highfield, Harare",2023-07-04,-17.815,31.0461,13.6,0.0,10.4
Eden Gardens,2013-01-03,22.5411,88.3628,18.7,5.1,4.4
R Premadasa Stadium,2008-08-24,6.9269,79.8612,,,
"Shere Bangla National Stadium, Mirpur",2024-03-27,23.8233,90.3917,26.6,6.8,8.9
"National Cricket Stadium, St George's",2007-04-12,12.0536,-61.7535,27.6,,30.6
Dubai International Cricket Stadium,2012-02-21,18.9389,72.8258,29.7,,
Jade Stadium,2007-01-02,-43.5303,172.6362,11.3,0.5,22.2
Shere Bangla National Stadium,2012-12-05,23.75,90.4,19.9,0.0,3.4
R Premadasa Stadium,2009-08-07,6.9269,79.8612,28.5,0.0,
Sheikh Abu Naser Stadium,2012-12-02,18.9389,72.8258,25.6,,
W.A.C.A. Ground,2005-02-01,18.9389,72.8258,25.7,0.0,
Dubai International Cricket Stadium,2010-11-02,18.9389,72.8258,29.3,,
W.A.C.A. Ground,2004-02-01,18.9389,72.8258,19.6,0.0,
Sir Vivian Richards Stadium,2021-03-10,17.1231,-61.7878,25.3,1.0,18.4
Clontarf Cricket Club Ground,2017-05-17,53.3569,-6.2042,11.5,1.4,14.3
Dubai International Cricket Stadium,2017-01-24,18.9389,72.8258,29.1,,7.2
MA Aziz Stadium,2005-01-24,18.9389,72.8258,23.1,0.0,
Queens Sports Club,2011-10-25,-20.1692,28.5869,,,
Bellerive Oval,2015-03-11,-18.9389,147.1861,,,
Harare Sports Club,2005-09-06,-17.815,31.0456,22.4,,
Gaddafi Stadium,2008-06-25,31.5299,74.344,32.8,0.0,14.9
Brabourne Stadium,2013-02-03,18.9389,72.8258,25.5,,
Shere Bangla National Stadium,2010-10-17,23.75,90.4,30.0,,4.0
Shaheed Chandu Stadium,2006-02-22,18.9389,72.8258,26.5,,
"Lord's, London",2003-06-22,51.531,-0.2648,20.1,,11.5
VRA Cricket Ground,2004-08-21,18.9389,72.8258,25.3,25.9,
Cambusdoon New Ground,2008-08-12,55.4217,-4.6767,14.5,,9.6
"St George's Park, Port Elizabeth",2003-03-18,-33.9814,25.5796,19.6,0.0,
Old Trafford,2013-09-08,53.4627,-2.291,11.0,,12.7
OUTsurance Oval,2010-10-15,-26.2044,28.0436,14.9,1.8,4.7
"Seddon Park, Hamilton",2022-12-17,-37.7833,175.2786,,,
"Queen's Park Oval, Port of Spain",2017-06-23,10.6936,-61.5215,25.3,0.0,7.1
Marrara Cricket Ground,2008-09-06,-12.4608,132.5462,,,
Pallekele International Cricket Stadium,2012-11-04,7.4833,80.65,28.1,0.0,
"Queens Sports Club, Bulawayo",2003-11-23,-20.1508,28.5786,,,
"Kensington Oval, Bridgetown",2007-04-21,13.1039,-59.6178,28.2,,22.7
"Sir Vivian Richards Stadium, North Sound",2011-06-11,17.7411,-61.8487,,,
Headingley,2017-05-24,53.8067,-1.5425,16.2,,21.1
Queens Sports Club,2018-03-10,-20.1692,28.5869,,,
Himachal Pradesh Cricket Association Stadium,2014-10-17,31.6439,77.2182,,,
Kinrara Academy Oval,2014-05-04,3.1236,101.6918,,,
"County Ground, Northampton",2022-07-11,52.2502,-0.8997,23.4,0.0,9.3
Harare Sports Club,2023-07-03,-17.815,31.0456,12.2,0.4,13.3
"M Chinnaswamy Stadium, Bengaluru",2023-10-20,12.9699,77.6012,24.3,0.0,9.1
"The Village, Malahide, Dublin",2022-07-10,53.4036,-6.1604,17.0,0.0,11.0
"Sardar Patel Stadium, Motera",2011-02-21,18.9389,72.8258,25.8,,
"Queens Sports Club, Bulawayo",2023-06-27,-20.1508,28.5786,15.0,,12.7
"MA Chidambaram Stadium, Chepauk",2007-06-09,13.0484,80.2116,32.1,,
Rangiri Dambulla International Stadium,2007-10-04,7.89,80.8,,,
Hagley Oval,2015-12-26,-43.5328,172.6389,15.3,0.0,13.1
SuperSport Park,2015-01-28,-25.7906,28.2286,18.3,16.0,
P Sara Oval,2017-02-11,18.9389,72.8258,24.9,,9.4
Shere Bangla National Stadium,2014-02-22,23.75,90.4,23.5,,6.5
"Diamond Oval, Kimberley",2023-02-01,-28.7347,24.7486,25.8,4.3,11.7
Seddon Park,2014-01-22,-37.6817,175.2703,,,
"Gymkhana Club Ground, Nairobi",2003-02-24,-1.2833,36.8167,19.9,0.0,
Rawalpindi Cricket Stadium,2023-04-29,33.5833,73.05,24.9,0.0,9.5
Barabati Stadium,2019-12-22,20.4602,85.8478,20.8,,1.6
"Forthill, Dundee",2024-07-16,56.48,-3.0078,15.1,3.1,5.7
Lord's,2013-08-20,51.5311,-0.2008,17.4,0.0,6.1
Pallekele International Cricket Stadium,2016-09-04,7.4833,80.65,,,
Castle Avenue,2019-05-15,53.3455,-6.2762,12.0,0.0,12.6
"Queens Sports Club, Bulawayo",2023-06-29,-20.1508,28.5786,16.4,,10.0
R Premadasa Stadium,2007-07-25,6.9269,79.8612,,,
"Riverside Ground, Chester-le-Street",2024-06-26,54.8181,-1.6467,16.9,0.5,9.5
"VRA Ground, Amstelveen",2024-08-12,52.2928,4.9175,24.1,0.0,16.7
Sydney Cricket Ground,2013-01-20,-33.8688,151.2093,21.9,0.2,18.9
Newlands,2006-11-26,-33.9969,18.4716,19.1,,23.7
"County Ground, New Road",2016-06-22,52.2036,-2.2282,,,
Old Trafford,2015-09-08,53.4627,-2.291,11.7,,6.6
St Lawrence Ground,2019-07-07,18.5208,73.8564,25.2,49.0,
County Ground,2017-07-05,51.4729997747,-2.58382433136,19.2,,7.5
Sydney Cricket Ground,2015-02-27,-33.8688,151.2093,23.8,0.6,17.9
Sinhalese Sports Club Ground,2011-01-31,6.9273,79.8597,25.2,0.3,
National Stadium,2008-07-04,12.0554,-61.7513,27.6,,13.8
Reliance Stadium,2019-10-11,19.1243,72.8818,29.6,7.9,8.6
"Trent Bridge, Nottingham",2024-09-19,52.9486,-1.1328,14.1,0.0,11.9
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2010-10-20,17.6869,83.2119,,,
Sydney Cricket Ground,2006-02-05,-33.8688,151.2093,23.3,0.0,16.5
"The Village, Malahide",2014-09-12,53.4071,-6.1826,12.9,0.0,9.7
"Shere Bangla National Stadium, Mirpur",2023-07-19,23.8233,90.3917,31.5,1.0,12.2
National Stadium,2005-12-15,12.0554,-61.7513,,,
"Shere Bangla National Stadium, Mirpur",2018-10-21,23.8233,90.3917,28.3,0.0,6.7
Nahar Singh Stadium,2006-03-31,28.4333,77.0806,27.6,,6.6
Dubai International Cricket Stadium,2014-10-10,18.9389,72.8258,30.4,,
"Tony Ireland Stadium, Townsville",2022-08-28,-19.2587,146.828,23.1,0.0,28.9
Sydney Cricket Ground,2006-02-12,-33.8688,151.2093,25.2,0.0,27.3
Kennington Oval,2011-09-09,51.48,-0.1195,18.9,0.0,12.7
Shere Bangla National Stadium,2010-01-07,23.75,90.4,17.1,0.0,2.7
"Terdthai Cricket Ground, Bangkok",2023-04-19,13.7667,100.55,32.3,0.1,2.4
"Amini Park, Port Moresby",2022-09-17,-9.4333,147.1667,27.5,4.0,10.9
The Rose Bowl,2011-09-06,34.1425,-118.1097,29.2,0.0,6.1
Sophia Gardens,2016-09-04,51.4883,-3.1917,16.5,,23.8
Gaddafi Stadium,2015-05-29,31.5299,74.344,34.7,0.0,
"County Ground, New Road, Worcester",2021-09-19,52.19,-2.23,15.4,0.6,6.3
Rangiri Dambulla International Stadium,2017-03-28,7.89,80.8,,,
"Kensington Oval, Bridgetown, Barbados",2021-07-26,13.1036,-59.6197,27.7,,22.6
McLean Park,2008-02-20,-40.7122,176.8478,,,
Adelaide Oval,2006-01-24,-34.9285,138.6007,20.9,0.0,20.5
"Civil Service Cricket Club, Stormont, Belfast",2024-09-09,54.6024,-5.9337,13.6,1.1,15.2
"R Premadasa Stadium, Colombo",2023-09-14,6.9271,79.8612,27.9,20.2,4.7
Multan Cricket Stadium,2006-02-16,30.2097,71.5142,20.2,,
"National Cricket Stadium, St George's",2014-08-22,12.0536,-61.7535,28.1,,23.7
"Shere Bangla National Stadium, Mirpur",2018-12-11,23.8233,90.3917,21.4,0.0,5.1
Sophia Gardens,2014-08-27,51.4883,-3.1917,15.2,,24.1
Trent Bridge,2004-09-01,52.9444,-1.1447,14.0,,6.1
Queens Sports Club,2018-03-15,-20.1692,28.5869,,,
"Tribhuvan University International Cricket Ground, Kirtipur",2023-03-09,27.6983,85.3109,16.6,0.0,7.4
Sydney Cricket Ground,2003-01-13,-33.8688,151.2093,21.4,0.0,20.2
Shaheed Chandu Stadium,2006-12-03,18.9389,72.8258,26.8,,
"Grange Cricket Club Ground, Raeburn Place",2017-06-15,55.95,-3.2075,14.9,,20.3
M Chinnaswamy Stadium,2007-09-29,12.9694,77.6044,23.7,,
"Beausejour Stadium, Gros Islet",2007-03-20,14.0031,-60.9786,26.3,,29.3
"Seddon Park, Hamilton",2022-04-04,-37.7833,175.2786,,,
Harare Sports Club,2011-10-22,-17.815,31.0456,22.3,0.0,
Sydney Cricket Ground,2015-03-08,-33.8688,151.2093,22.4,0.0,18.0
Rangiri Dambulla International Stadium,2010-06-15,7.89,80.8,,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2021-09-26,23.6367,58.5731,31.0,,8.7
"Castle Avenue, Dublin",2022-06-11,53.3414,-6.2626,13.9,0.4,21.6
"Gaddafi Stadium, Lahore",2022-11-06,31.5299,74.3086,22.8,0.0,5.2
Sydney Cricket Ground,2020-11-29,-33.8688,151.2093,25.7,0.0,37.1
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-11-07,23.6344,58.5624,29.3,0.0,6.8
"Wankhede Stadium, Mumbai",2023-12-30,18.9389,72.8258,26.3,0.0,1.1
"Wankhede Stadium, Mumbai",2023-11-02,18.9389,72.8258,28.5,0.0,1.1
"R Premadasa Stadium, Colombo",2021-09-04,6.9271,79.8612,27.4,3.6,5.5
Mannofield Park,2011-06-29,57.1436,-2.1181,12.3,6.2,6.6
Sydney Cricket Ground,2015-01-16,-33.8688,151.2093,25.5,0.0,16.4
Kennington Oval,2013-06-17,51.48,-0.1195,16.0,0.3,17.4
Barsapara Cricket Stadium,2018-10-21,26.1806,91.7467,26.4,,4.7
"ICC Academy, Dubai",2024-04-14,25.0758,55.165,27.9,0.0,14.5
Tribhuvan University International Cricket Ground,2020-02-06,27.7111,85.3326,10.1,0.0,7.2
"National Cricket Stadium, St George's",2007-04-18,12.0536,-61.7535,28.0,,29.7
Kinrara Academy Oval,2018-10-22,3.1236,101.6918,,,
Queens Sports Club,2009-08-09,-20.1692,28.5869,,,
Sydney Cricket Ground,2007-02-11,-33.8688,151.2093,22.3,0.0,25.7
"Brisbane Cricket Ground, Woolloongabba",2008-03-04,-27.4705,153.0269,21.2,0.0,15.1
Sophia Gardens,2013-06-16,51.4883,-3.1917,12.5,,17.7
Kennington Oval,2017-06-03,51.48,-0.1195,18.4,6.9,16.0
"Rajiv Gandhi International Stadium, Uppal",2007-10-05,17.4389,78.5666,25.6,3.0,
Melbourne Cricket Ground,2017-01-15,-37.822,144.9635,17.2,0.0,14.8
"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-10,27.6983,85.3109,12.3,0.0,6.7
Perth Stadium,2018-01-28,-32.0216,115.8619,22.5,0.0,21.3
Willowmoore Park,2019-05-12,34.0087,-118.478,18.2,0.0,11.5
SuperSport Park,2019-01-25,-25.7906,28.2286,23.4,,10.5
McLean Park,2009-03-03,-40.7122,176.8478,,,
"Amini Park, Port Moresby",2022-09-21,-9.4333,147.1667,27.0,2.2,10.3
Senwes Park,2018-02-10,-26.7036,27.9122,,,
Diamond Oval,2017-10-15,-28.7297,24.7619,17.1,,14.6
Senwes Park,2013-10-26,-26.7036,27.9122,,,
Shere Bangla National Stadium,2010-10-11,23.75,90.4,27.3,0.0,7.2
Bradman Oval,2014-11-18,-18.9389,143.8258,,,
Lord's,2009-09-12,51.5311,-0.2008,17.3,0.0,12.9
Western Australia Cricket Association Ground,2014-11-14,-31.9286,115.8628,16.7,0.0,17.7
The Rose Bowl,2015-06-14,34.1425,-118.1097,20.2,0.0,8.6
Willowmoore Park,2016-02-07,34.0087,-118.478,18.8,0.0,6.1
R Premadasa Stadium,2016-11-17,6.9269,79.8612,25.8,29.0,8.0
The Cooper Associates County Ground,2019-06-12,51.0,-2.5,12.1,,12.5
Rangiri Dambulla International Stadium,2010-06-21,7.89,80.8,,,
"Headingley, Leeds",2003-07-01,53.8067,-1.5432,12.1,,18.2
"Westpac Stadium, Wellington",2003-01-08,-41.2865,174.7822,19.4,,
Shere Bangla National Stadium,2010-02-28,23.75,90.4,25.3,0.0,5.6
County Ground,2013-08-23,51.4729997747,-2.58382433136,17.8,,12.6
"County Ground, Derby",2021-09-23,52.9171,-1.4886,15.5,0.1,20.1
"Hagley Oval, Christchurch",2022-04-03,-43.5389,172.6428,15.6,0.3,10.9
"Brisbane Cricket Ground, Woolloongabba",2011-01-30,-27.4705,153.0269,25.5,0.0,16.2
Providence Stadium,2007-03-30,18.9389,72.8258,27.9,,
JSCA International Stadium Complex,2013-10-23,23.3711,85.3306,22.0,0.0,
Bellerive Oval,2007-01-14,-18.9389,147.1861,,,
Adelaide Oval,2015-03-15,-34.9285,138.6007,18.2,0.0,15.8
"Bay Oval, Mount Maunganui",2021-04-10,-37.6833,176.1667,19.2,13.1,21.3
"VRA Ground, Amstelveen",2022-08-24,52.2928,4.9175,22.7,0.0,9.0
JSCA International Stadium Complex,2016-10-26,23.3711,85.3306,24.3,,
"Takashinga Sports Club, Highfield, Harare",2023-07-06,-17.815,31.0461,13.5,0.0,13.4
Shere Bangla National Stadium,2011-04-11,23.75,90.4,,,
"Old Trafford, Manchester",2022-07-17,53.4627,-2.2915,22.6,0.7,7.8
Buffalo Park,2016-02-29,-33.0040233172,27.9182829935,16.5,6.1,
"Wanderers Cricket Ground, Windhoek",2023-04-04,-22.5728,17.0811,23.4,0.0,11.0
"The Wanderers Stadium, Johannesburg",2023-04-02,-26.2047,27.9795,16.9,0.2,11.5
Feroz Shah Kotla,2014-10-11,28.63,77.2267,25.7,,5.1
SuperSport Park,2009-04-05,-25.7906,28.2286,19.8,,8.0
Headingley,2014-09-05,53.8067,-1.5425,15.6,,4.9
"Brisbane Cricket Ground, Woolloongabba",2007-01-19,-27.4705,153.0269,24.1,0.6,15.5
Shere Bangla National Stadium,2011-12-01,23.75,90.4,,,
Riverside Ground,2004-06-29,18.52,73.8564,25.6,,
Saurashtra Cricket Association Stadium,2013-01-11,21.9206,70.9011,,,
"ICC Academy, Dubai",2022-03-05,25.0758,55.165,24.8,0.0,14.0
"McLean Park, Napier",2023-12-23,-39.5022,176.9167,20.4,0.0,7.5
Adelaide Oval,2007-12-14,-34.9285,138.6007,21.8,0.0,21.7
Wanderers Cricket Ground,2019-04-27,18.9389,72.8258,31.4,,5.1
The Wanderers Stadium,2018-02-10,-26.2044,28.0436,21.1,,1.8
Shere Bangla National Stadium,2014-06-15,23.75,90.4,31.4,,9.7
"Civil Service Cricket Club, Stormont, Belfast",2021-09-10,54.6024,-5.9337,17.8,8.6,7.7
Harare Sports Club,2023-06-26,-17.815,31.0456,12.9,0.0,11.3
"Castle Avenue, Dublin",2022-06-17,53.3414,-6.2626,16.8,0.0,16.5
Harare Sports Club,2021-07-18,-17.815,31.0456,12.4,,12.3
Clontarf Cricket Club Ground,2010-08-18,53.3569,-6.2042,14.0,4.1,17.6
Pallekele International Cricket Stadium,2012-06-07,7.4833,80.65,28.8,5.3,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024-06-21,6.1286,81.1206,28.6,0.0,38.9
Melbourne Cricket Ground,2016-01-17,-37.822,144.9635,26.1,0.0,15.3
"The Village, Malahide",2013-09-03,53.4071,-6.1826,17.1,0.0,11.3
